Usuario,Perfil,Tweet,Enlace
@anezarandona,local/anezarandona,"Conquistadores! 
Gotzon Mantuliz en el desafío#Conquis5ETB#ElDesafío",local/anezarandona/status/1893064963297628357#m
@elconquis_etb,local/elconquis_etb,"🎬El Making Of 5🎥
💪¡Gran equipo!#conquis5etb#elconquis5etbinstagram.com/reel/DGQcCOMMh…",local/elconquis_etb/status/1892216760222257192#m
@sconqfan,local/sconqfan,Jime sin capitán / Jime con capitán#Conquis5ETB,local/sconqfan/status/1891622482760675685#m
@Ari_Conkis,local/Ari_Conkis,"@JulianIantzi1,@IkerSantxosubir a Miramón solo por daros un abrazo it's ok!@elconquis_etb#Conquis5ETB",local/Ari_Conkis/status/1892381064355610652#m
@Conquis18677855,local/Conquis18677855,Me encanta que en los dos últimos programas hayan hecho duelazos perfiles como Pati y la Ratxel en las que ni su propio equipo confiaba y han callado bocas. Muy muy bien👏👏👏#Conquis5ETB,local/Conquis18677855/status/1891642460649947538#m
@adrianstiles93,local/adrianstiles93,piped.video/watch?v=_C1JvHim…piped.video/watch?v=LFuUfPZs…Hoy en adrianstiles cerramos los anexos de Fitness Boxing Fist of the North Star con la demo japonesa y luego analizamos las últimas dos semanas de#Conquis5ETBy sus cambios y pruebas más recientes. Disfrutadlo,local/adrianstiles93/status/1892387294406955481#m
@alberichspielt1,local/alberichspielt1,"gabon!

fantástico lo del surströmming

sugiero, de aquí a noviembre, un visionado de los programas aquellos de humor amarillo para documentarse con más maldades... 😁👍#elConquis5ETB#ElConquisETB#ElConquis#Conquis5ETB",local/alberichspielt1/status/1892372547171152320#m
@elconquis_etb,local/elconquis_etb,"Allen King, muchísimas gracias por todos los momentos que nos has dado. Ha sido un gran placer ver tú aventura. Breve pero brutal. Zorionak eta eskerrik asko. Te vemos este miércoles en e Debate de El Conquis con@JulianIantzi1en ETB2#Conquis5ETB@Reyallenking",local/elconquis_etb/status/1891643987674517571#m
@elconquis_etb,local/elconquis_etb,"Famo ganador del duelo, segunda La Ratxel y en tercer lugar Allen King#Conquis5ETB",local/elconquis_etb/status/1891642279661625753#m
@SspAarrOw,local/SspAarrOw,"Mi ranking de participantes:
🔵COROCOTE🔵
1. Isra
2. Leyre
3. Chivite
4. Koty
5. Carra
6. Ainhoa
7. Reblán
8. Elazar
9. Jime
10. Raquel#conquis5ETB#elconquis5ETB",local/SspAarrOw/status/1892356740194140596#m
@SspAarrOw,local/SspAarrOw,"Mi ranking de participantes:
🟡GUABAN🟡
1. Aratz
2. Santa
3. Maider
4. Iradi
5. Ekhi
6. Pati
7. Jontxu
8. Filete
9. Lorea
10. Hippie#conquis5ETB#elconquis5ETB",local/SspAarrOw/status/1892356738445197314#m
@SspAarrOw,local/SspAarrOw,"Mi ranking de participantes:
🔴YOCAHU🔴
1. Nahikarita
2. Sebas
3. Alex
4. Famo
5. Saioa
6. Xego
7. La Ratxel
8. Marcela
9. Ari
10. Unai
11. Killo#conquis5ETB#elconquis5ETB",local/SspAarrOw/status/1892356736792531187#m
@HaterdeEneko,local/HaterdeEneko,"Quillo, paaa casaaa#Conquis5ETB",local/HaterdeEneko/status/1892351451365576878#m
@HaterdeEneko,local/HaterdeEneko,Jokin de apellido cagon#Conquis5ETB,local/HaterdeEneko/status/1892349119458341262#m
@patri_cule,local/patri_cule,#Conquis5ETBdespués de poner 20 veces el mismo tweet ahora no pone ninguno por favor volver@isma_conquis,local/patri_cule/status/1892348027555234276#m
@HaterdeEneko,local/HaterdeEneko,"Quillota, a la calle#Conquis5ETB",local/HaterdeEneko/status/1892346567144686015#m
@guaito66,local/guaito66,"#Conquis5ETBEs una pena que Allen se haya ido. Me ha sorprendido muy gratamente, era el que aportaba tranquilidad y buen rollito en ese grupo, que es un polvorín. Aúpa Allen",local/guaito66/status/1892345156940042664#m
@patri_cule,local/patri_cule,#Conquis5ETBvolver a poner el mismo tweet que todavía no me he enterado bien,local/patri_cule/status/1892342753310175426#m
Usuario,Perfil,Tweet,Enlace
@KontxiZulu81651,local/KontxiZulu81651,#Conquis4ETB.... ¿Pero Julián no crees en la amistad?????,local/KontxiZulu81651/status/1892346492611940660#m
@KontxiZulu81651,local/KontxiZulu81651,#Conquis4ETBMira como t hecha en falta Txibite!!!!!,local/KontxiZulu81651/status/1892346202307305607#m
@Car_Comenta,local/Car_Comenta,"Allen plantando cara, animando a todo el equipo, calmando las aguas y dando show en un solo programa

Un 10 de concursante#conquis4ETB",local/Car_Comenta/status/1889089848469762196#m
@AritzRedin87,local/AritzRedin87,"#conquis4ETBGabón, ya estamos por aquí, se presenta 
PRO GRA MA ZO!!",local/AritzRedin87/status/1891602236960071795#m
@anezarandona,local/anezarandona,"@SURCARPINIANOSi no empezase a las tantas y terminase de madrugada...
Y si no hubiese mil anuncios... 
Una vergüenza en una tv pública#conquis4ETB@euskaltelebistaelcorreo.com/culturas/tv/el-…",local/anezarandona/status/1890808374377218300#m
@pittusxa,local/pittusxa,"Soy la única a la k nunca le ha gustado Marcela? 
Además, me parece k va a ser la protegida de la capitana.#conquis4ETB#elconquis4ETB",local/pittusxa/status/1890749310133821528#m
@elconquis_etb,local/elconquis_etb,"🛠 El taller de El Conquis ya está ""ready"" para el capítulo de esta noche🌛@euskaltelebista#conquis4ETB",local/elconquis_etb/status/1888948931217743879#m
@JulianIantzi1,local/JulianIantzi1,"Día post debate de@elconquis_etby de nuevo a la rutina! Candela al cuerpo!💪😁.
Gracias por vernos ayer, la semana que viene más y mejor!💪😍

No te pierdas los episodios de los lunes a las 22:30 h y los miércoles a las 23 h.@euskaltelebista#conquis4ETB#ElConquis4ETB",local/JulianIantzi1/status/1890027937443037413#m
@kamizvlog,local/kamizvlog,La convivencia pasando factura Mi Marce soportalooo por favor los dos son mis favoritos 🥺 sean amiwis plis 🤞🤞🤞#conquis4etb,local/kamizvlog/status/1889833014471041223#m
@KontxiZulu81651,local/KontxiZulu81651,"#Conquis4ETBQ, maja la hija d Pipi!!!",local/KontxiZulu81651/status/1889826518119096504#m
@KontxiZulu81651,local/KontxiZulu81651,"#Conquis4ETBM parece q, va a ser una prueba d INFARTO!!!!!",local/KontxiZulu81651/status/1889824966193062115#m
@KontxiZulu81651,local/KontxiZulu81651,#Conquis4ETB¿Laberinto o barro???,local/KontxiZulu81651/status/1889824021916819942#m
@KontxiZulu81651,local/KontxiZulu81651,#Conquis4ETBJime pues esas tortitas tienen buena pinta!!!!!!,local/KontxiZulu81651/status/1889823459800391804#m
@marconada001,local/marconada001,El verdadero ESCUCHAMOS Y JUZGAMOS#Conquis4ETB,local/marconada001/status/1889823195102056786#m
@AmayaAmaia,local/AmayaAmaia,Que pesado Jime!!!#conquis4ETB,local/AmayaAmaia/status/1889822749021094155#m
@AmayaAmaia,local/AmayaAmaia,Eso es aprovechar lo que les ofrece el Mar#conquis4ETB,local/AmayaAmaia/status/1889822323081093173#m
@geta_gay,local/geta_gay,"#Conquis4ETBA alguna se le ha visto la ""chirla""",local/geta_gay/status/1889822003726786945#m
@KontxiZulu81651,local/KontxiZulu81651,#Conquis4ETBLuisito FLIPA!!!!,local/KontxiZulu81651/status/1889820032596844963#m
Usuario,Perfil,Tweet,Enlace
@rascameelojo,local/rascameelojo,Allen me ha encantado! ha dado muchísimo juego. Que pena que se haya ido#elconquis4etb,local/rascameelojo/status/1892341445593366648#m
@ToniTeacher,local/ToniTeacher,@elconquis_etbCapitulazooo!#elconquis4etb,local/ToniTeacher/status/1891955383347843348#m
@elconquis_etb,local/elconquis_etb,Marcela está ON FIRE 🧨#ElConquis4ETB,local/elconquis_etb/status/1890732797410881614#m
@AlvarezRes29930,local/AlvarezRes29930,"Me la pela con canela, otra gran frase del conquis#elconquis4etb",local/AlvarezRes29930/status/1889803214595440852#m
@LeandroGao27,local/LeandroGao27,"Me estoy poniendo al día, pero no entiendo al equipo#guabanesY sigue siendo mis favoritos.#elconquis4ETB",local/LeandroGao27/status/1891157673975922707#m
@kamizvlog,local/kamizvlog,Jaja ya le he dicho que así la banco. Lo que necesita es la prueba para sacar todo su Ki 💪🔥🌋 es que tiene mucho fuego mi niña perdonen udes#elconquis4etb,local/kamizvlog/status/1891072369071899101#m
@elconquis_etb,local/elconquis_etb,Allen y Chivite celebran San Valentín 💞#ElConquis4ETB,local/elconquis_etb/status/1890446153902387379#m
@pittusxa,local/pittusxa,"Soy la única a la k nunca le ha gustado Marcela? 
Además, me parece k va a ser la protegida de la capitana.#conquis4ETB#elconquis4ETB",local/pittusxa/status/1890749310133821528#m
@belenleibar,local/belenleibar,Los debates ya no tienen la salsa d antes#ElConquis4ETB,local/belenleibar/status/1890671272243192249#m
@blxncaxx,local/blxncaxx,"""Queremos que vuelvas
Porque te echamos de menos...""

Voy a publicar esta foto todos los miércoles 🥲😮‍💨#elconquis4etb",local/blxncaxx/status/1889808537674756098#m
@belenleibar,local/belenleibar,Decirle a Enepe q deje d utilizar el  Guau!!.#ElConquis4ETB,local/belenleibar/status/1890670508514980263#m
@guaito66,local/guaito66,"#elconquis4etbpara que no haya suspicacias, y todos tengan las mismas posibilidades, tenían que ser todos los duelos individuales, o que los acompañantes no tuvieran tanta relevancia en el desenlace del duelo. Aúpa Pati",local/guaito66/status/1889814346261471625#m
@botxintxa74,local/botxintxa74,"#elconquis4etbmucho programa-denuncia en etb del tema del uso d pornografía en la adolescencia, y llevamos 2 miércoles q el debate dedica más d 10 minutos a un actor porno, a la réplica d su ªno y d su mīemɓro
Sabéis q el Conquis lo siguen muchísimos txabales, verdad? Hipócritas",local/botxintxa74/status/1889822638715068781#m
Usuario,Perfil,Tweet,Enlace
@hz66,local/hz66,"En el debate a nadie le molesta  la música de fondo cuando habla la gente ? No entiendo que pongan música más alta que la propia voz de los participantes. Cuando ponen videos nuevos, más de lo mismo. La música a más volumen que la voz#elConquis5ETB",local/hz66/status/1892701094419034263#m
@itsayreamon,local/itsayreamon,putxo y allen si gracias#ElConquis5ETB,local/itsayreamon/status/1892692752132923515#m
@elconquis_etb,local/elconquis_etb,Así es la vuelta de Famo y de La Ratxel.#ElConquis5ETB,local/elconquis_etb/status/1892349992091697491#m
@elconquis_etb,local/elconquis_etb,"Bueno equipo. Oso ondo lo in, y nos leemos el lunes con el capítulo 6. Eskerrik asko#ElConquis5ETB",local/elconquis_etb/status/1892366190917407051#m
@SandiaPepita,local/SandiaPepita,A Gorka no le pican ni los mosquitos#ElConquis5ETB,local/SandiaPepita/status/1892655663551041956#m
@elconquis_etb,local/elconquis_etb,@Reyallenkingnos abre las puertas de su casa y nos cuenta cómo fue parte de su infancia 🥲#ElConquis5ETBinstagram.com/reel/DGSsx0qqN…,local/elconquis_etb/status/1892646091398537700#m
@elconquis_etb,local/elconquis_etb,Pobre Nahi-Karita. Yo he tenido mejores despertares de resaca.#Elconquis5etb,local/elconquis_etb/status/1892361245547798865#m
@elconquis_etb,local/elconquis_etb,"🎬El Making Of 5🎥
💪¡Gran equipo!#conquis5etb#elconquis5etbinstagram.com/reel/DGQcCOMMh…",local/elconquis_etb/status/1892216760222257192#m
@anezarandona,local/anezarandona,"#elConquis5ETB78% aprobado
12%  suspenso

Y el 10% restante? 
NS/NC?",local/anezarandona/status/1892362642267738129#m
@112morgana,local/112morgana,"Qué pintará Putxo de conquistologo que se piro al segundo día vacilando al programa, a la audiencia y a todo dios.... en fin!!!#elconquis5ETB",local/112morgana/status/1892558713124159933#m
@isma_conquis,local/isma_conquis,"No sabia que se iba a hacer un ""remake"" de los goonies versión conquis#elconquis5etb",local/isma_conquis/status/1892360760795250758#m
@GuanchoConquis,local/GuanchoConquis,Es que el conquis te cambia la vida y entre mas dias aguantes la aventura mas te la cambia. Es lo que creo de verdad#elconquis5etb,local/GuanchoConquis/status/1892337322445685159#m
@elconquis_etb,local/elconquis_etb,Así ha llegado Gorka al campamento azul y la reacción de los Corocotes.#Elconquis5ETB,local/elconquis_etb/status/1892345857288118755#m
@OlatzCalvo,local/OlatzCalvo,Muy fácil: Andrea se cree imprescindible en el debate ➡️ graba un vídeo justificando su ausencia ➡️ el programa necesita una excusa para ponerlo➡️se inventa que hemos preguntado por ella PERO NO.#ElConquis5ETB,local/OlatzCalvo/status/1892502730163237289#m
@OlatzCalvo,local/OlatzCalvo,"La chica de redes fingiendo que hemos preguntado por Andrea 😂😂😂😂

Un total de CERO personas he visto yo preguntando por ella.#elconquis5ETB",local/OlatzCalvo/status/1892343661158875228#m
@blxncaxx,local/blxncaxx,Semana 5 diciendo lo muchísimo que echo de menos a@davidseco1🥹❤️‍🩹#Elconquis5ETB,local/blxncaxx/status/1892343233063051548#m
@charlisin46yout,local/charlisin46yout,"#ElConquis5ETBComoooo tiene que oler esa lataaaaa dios bendito para que a Allen le de ascooooo con sabe dios que habra chupado eseeeeee !!!!

🤮🤮🤮🤢🤢🤢🤢 La otra se pone gafas de proteccion 🤣🤣🤣",local/charlisin46yout/status/1892473117340991630#m
Usuario,Perfil,Tweet,Enlace
@dolmar12,twitter.com/dolmar12,"Me encantan los verdes, sabiendo que está el dos veces conquistador aún así no se achantan y hay record de voluntarios a duelos#Conquis3ETB",twitter.com/dolmar12/status/1757176871974744270#m
@Opinandodeto1,twitter.com/Opinandodeto1,Manda narices que los rojos cataloguen a un concursante de los verdes como chulo y prepotente.. si el chiste se cuenta solo..#Conquis3ETB,twitter.com/Opinandodeto1/status/1757167222508683581#m
@nekaneespina,twitter.com/nekaneespina,"Las golpean , las estresan ... no hay más juegos ??? Esk me pongo mala , a rebobinar esta prueba y si siguen Igual usando animales, otro año que dejaré de ver el conquis .. una pena#Conquis3ETB",twitter.com/nekaneespina/status/1757065032611803477#m
