@anezarandona,twitter.com/anezarandona,"Conquistadores! 
Gotzon Mantuliz en el desafío#Conquis5ETB#ElDesafío",twitter.com/anezarandona/status/1893064963297628357#m
@alberichspielt1,twitter.com/alberichspielt1,"gabon!

fantástico lo del surströmming

sugiero, de aquí a noviembre, un visionado de los programas aquellos de humor amarillo para documentarse con más maldades... 😁👍#elConquis5ETB#ElConquisETB#ElConquis#Conquis5ETB",twitter.com/alberichspielt1/status/1892372547171152320#m
@SspAarrOw,twitter.com/SspAarrOw,"Mi ranking de participantes:
🔵COROCOTE🔵
1. Isra
2. Leyre
3. Chivite
4. Koty
5. Carra
6. Ainhoa
7. Reblán
8. Elazar
9. Jime
10. Raquel#conquis5ETB#elconquis5ETB",twitter.com/SspAarrOw/status/1892356740194140596#m
@SspAarrOw,twitter.com/SspAarrOw,"Mi ranking de participantes:
🟡GUABAN🟡
1. Aratz
2. Santa
3. Maider
4. Iradi
5. Ekhi
6. Pati
7. Jontxu
8. Filete
9. Lorea
10. Hippie#conquis5ETB#elconquis5ETB",twitter.com/SspAarrOw/status/1892356738445197314#m
@SspAarrOw,twitter.com/SspAarrOw,"Mi ranking de participantes:
🔴YOCAHU🔴
1. Nahikarita
2. Sebas
3. Alex
4. Famo
5. Saioa
6. Xego
7. La Ratxel
8. Marcela
9. Ari
10. Unai
11. Killo#conquis5ETB#elconquis5ETB",twitter.com/SspAarrOw/status/1892356736792531187#m
@HaterdeEneko,twitter.com/HaterdeEneko,"Quillo, paaa casaaa#Conquis5ETB",twitter.com/HaterdeEneko/status/1892351451365576878#m
@HaterdeEneko,twitter.com/HaterdeEneko,Jokin de apellido cagon#Conquis5ETB,twitter.com/HaterdeEneko/status/1892349119458341262#m
@patri_cule,twitter.com/patri_cule,#Conquis5ETBdespués de poner 20 veces el mismo tweet ahora no pone ninguno por favor volver@isma_conquis,twitter.com/patri_cule/status/1892348027555234276#m
@HaterdeEneko,twitter.com/HaterdeEneko,"Quillota, a la calle#Conquis5ETB",twitter.com/HaterdeEneko/status/1892346567144686015#m
@guaito66,twitter.com/guaito66,"#Conquis5ETBEs una pena que Allen se haya ido. Me ha sorprendido muy gratamente, era el que aportaba tranquilidad y buen rollito en ese grupo, que es un polvorín. Aúpa Allen",twitter.com/guaito66/status/1892345156940042664#m
@patri_cule,twitter.com/patri_cule,#Conquis5ETBvolver a poner el mismo tweet que todavía no me he enterado bien,twitter.com/patri_cule/status/1892342753310175426#m
@Ms_Ocho,twitter.com/Ms_Ocho,Una pena que se vaya Allen... estaba ganando muchos puntos. Los 3 lo han luchado como unos titanes#Conquis5ETB,twitter.com/Ms_Ocho/status/1892341494360510508#m
@emmasinemme,twitter.com/emmasinemme,Allen a ser txungos lo llama tener personalidad#Conquis5ETB,twitter.com/emmasinemme/status/1892340985864053219#m
@Ninamer6,twitter.com/Ninamer6,Allen no habrás ganado el duelo pero te llevas el cariño de toda esta gente#Conquis5ETB,twitter.com/Ninamer6/status/1892246092126867881#m
@elconquis_etb,twitter.com/elconquis_etb,"🎬El Making Of 5🎥
💪¡Gran equipo!#conquis5etb#elconquis5etbinstagram.com/reel/DGQcCOMMh…",twitter.com/elconquis_etb/status/1892216760222257192#m
@elconquis_etb,twitter.com/elconquis_etb,Esta fue la primera ducha de@Reyallenkingtras salir de la aventura 🫧#Conquis5ETBinstagram.com/reel/DGP6O9NMm…,twitter.com/elconquis_etb/status/1892178207597576634#m
@pitufloris,twitter.com/pitufloris,"Conclusiones del capítulo: Allen me ha caído mejor de lo que me pensaba, no merecía salir tan pronto teniendo a gente horrible como Killo, el ansias etc….Killo, te has coronado,otro al q le hago la cruz. Contenta con los capis, incluso con Joana, demostró en su día.#Conquis5ETB",twitter.com/pitufloris/status/1892007471100604840#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,"Una pena la expulsión de Allen siendo de los pocos majos de los azules, pero Famo es un titán y Ratxel espero que cierre bocas sobre todo la de Killo#Conquis5ETB",twitter.com/Lucy_Gifer/status/1892002931999666490#m
@ekaiitzz1,twitter.com/ekaiitzz1,el nuevo txoskin 🤣#Conquis5ETB,twitter.com/ekaiitzz1/status/1891995588360626613#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,Joana todo indignada con Killo en la asamblea (con razón por partida doble) Y NO LE NOMINA#Conquis5ETB,twitter.com/Lucy_Gifer/status/1891985912982131059#m
N/A,N/A,N/A,N/A
@Lucy_Gifer,twitter.com/Lucy_Gifer,"Se han quedado sin ikurriña por culpa de Killo y van a por Ratxel, todo bien por casa?#Conquis5ETB",twitter.com/Lucy_Gifer/status/1891981991081386072#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,El comentario misógino de Killo 💀#Conquis5ETB,twitter.com/Lucy_Gifer/status/1891981582438691250#m
@pitufloris,twitter.com/pitufloris,Pero y esta manera de cargarse el Laberinto???? Joder os estáis luciendo.#Conquis5ETB,twitter.com/pitufloris/status/1891980282661576954#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,El bombero me cae mal y es recordar que Huido está en su casa y me cae peor aún#Conquis5ETB,twitter.com/Lucy_Gifer/status/1891977765001257409#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,Enhorabuena Killo acabas de entrar en el club de personas que peor me caen de la edición#Conquis5ETB,twitter.com/Lucy_Gifer/status/1891976676734554406#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,"Por fin los guabanes salen del muy pobre se lo merecían ya, equipazo#Conquis5ETB",twitter.com/Lucy_Gifer/status/1891974146973638769#m
@deskiciadas,twitter.com/deskiciadas,deseando que se vayan uno a uno todos los rojos para perder de vista a la puta munipa#Conquis5ETB,twitter.com/deskiciadas/status/1891972400087970001#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,A Gorka le toca el equipo de los insoportables pues no me apetece#Conquis5ETB,twitter.com/Lucy_Gifer/status/1891966208695484827#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,"Me gusta que hayan traído sangre nueva en la capitanía, pero tengo la espinita de ver a Gorka como concursante en el Conquis verdadero 😔#Conquis5ETB",twitter.com/Lucy_Gifer/status/1891965518048903635#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,GORKA#Conquis5ETB,twitter.com/Lucy_Gifer/status/1891965069111533870#m
@pitufloris,twitter.com/pitufloris,"Por dios, que estrés Marcela#Conquis5ETB",twitter.com/pitufloris/status/1891962738529751544#m
@OdiosaSuegra,twitter.com/OdiosaSuegra,idem#conquis5ETB,twitter.com/OdiosaSuegra/status/1891955337697095857#m
@SspAarrOw,twitter.com/SspAarrOw,"Mi ranking de participantes:
🔵COROCOTE🔵
1. Isra
2. Leyre
3. Chivite
4. Koty
5. Carra
6. Ainhoa
7. Reblán
8. Elazar
9. Jime
10. Raquel#conquis5ETB#elconquis5ETB",twitter.com/SspAarrOw/status/1891951092646224194#m
@SspAarrOw,twitter.com/SspAarrOw,"Mi ranking de participantes:
🟡GUABAN🟡
1. Aratz
2. Santa
3. Maider
4. Iradi
5. Ekhi
6. Pati
7. Jontxu
8. Filete
9. Lorea
10. Hippie#conquis5ETB#elconquis5ETB",twitter.com/SspAarrOw/status/1891951090515456175#m
@NaiaraAlonso15,twitter.com/NaiaraAlonso15,naiaraalonso.es/peritaje-psi…#acosopsicologico#acoso#FelizMartes#18defebrero#LaIslaDeLasTentaciones10#COAC2025C4#GH17F#GH18F#conquis5ETB,twitter.com/NaiaraAlonso15/status/1891948302519689244#m
@NaiaraAlonsoH,twitter.com/NaiaraAlonsoH,serviciosdepsicologia.es/la-…#intuicion#psicologia#FelizMartes#18febrero#LaIslaDeLasTentaciones10#COAC2025C4#GH17F#GH18F#conquis5ETB,twitter.com/NaiaraAlonsoH/status/1891948301513261189#m
@BEA_triu7,twitter.com/BEA_triu7,Me reafirmo en que Famo en el casting fué mucho de machito alfa pero en la aventura está teniendo actitud de todo lo contrario.#Conquis5ETB,twitter.com/BEA_triu7/status/1891938384672653618#m
@BEA_triu7,twitter.com/BEA_triu7,"Marce: ""A illo le gusta quedar bien"".

Pues le esta saliendo el plan regulinchi, hulio jahahahahajah#Conquis5ETB",twitter.com/BEA_triu7/status/1891935697419821084#m
@BEA_triu7,twitter.com/BEA_triu7,"Marce me cansaba pero tiene momentos que pone ""seny"". Illo tocando los ovarios con ""yo más ganas de ir al rico que nadie"" con la que ha liado...nene, cállate. 

No me gusta y lo quiero fuera.#Conquis5ETB",twitter.com/BEA_triu7/status/1891934953518120995#m
@BEA_triu7,twitter.com/BEA_triu7,"Carra...Se enciende sola, se crece, se pica, explota... y suelta: ""esto es lo que buscabais? Aquí lo teneis"".

Juan palomo, colega.#Conquis5ETB",twitter.com/BEA_triu7/status/1891934205619114096#m
N/A,N/A,N/A,N/A
@NaiaraAlonsoH,twitter.com/NaiaraAlonsoH,serviciosdepsicologia.es/rec…#recursos#recursosgratuitos#gratis#psicologia#FelizMartes#18febrero#LaIslaDeLasTentaciones10#COAC2025C4#GH17F#GH18F#conquis5ETB,twitter.com/NaiaraAlonsoH/status/1891933202983321608#m
@desastreonline,twitter.com/desastreonline,❤️Pepe Jeans Sharon Blazer para Mujeramzn.to/3WgqK2c#FelizMartes#ofertas#ofertasamazon#invierno#18deFebrero#LaIslaDeLasTentaciones10#COAC2025C4#GH17F#GH18F#conquis5ETB,twitter.com/desastreonline/status/1891933202786226424#m
@NaiaraAlonso15,twitter.com/NaiaraAlonso15,consultoriojuridico.es/cance…#antecedentespenales#cancelaciondeantecedentespenales#FelizMartes#18defebrero#LaIslaDeLasTentaciones10#COAC2025C4#GH17F#GH18F#conquis5ETB,twitter.com/NaiaraAlonso15/status/1891933202710921464#m
@desastreonline,twitter.com/desastreonline,"Elizabeth Arden - Ceramide Premiere, Crema Hidratante de Día, con SPF 30buff.ly/40oPc2L#LaIslaDeLasTentaciones10#COAC2025C4#GH17F#GH18F#conquis5ETB",twitter.com/desastreonline/status/1891925758047596577#m
